"","ipr","ip","Recoveredt","minevent","damageD0","damageD1","damageD10","damageD11","damageD12","damageD15","damageD28"
"1",27,1,22,408,6.37331004678495,4.86444461014682,0.55354053589876,0.462150109146163,0.392049013471216,0.262611546608478,0.144436923349887
"2",28,2,36,480,6.84522478456393,5.481307487249,1.2026779648166,1.08940926091757,1.00167602485907,0.847584489747554,1.3681014927022
"3",99,3,28,376,6.93578768857141,5.19493608702707,0.520073483984664,0.429133752550647,0.360070268839419,0.234491444935158,0.11917218518959
"4",275,4,28,576,6.02132695339298,5.12469708213492,2.26693204785095,2.21440116950071,2.18749630128074,2.2404254154373,5.1321269386151
"5",330,5,36,448,7.20652458520663,5.61935969093607,0.850339497677818,0.745217660471275,0.671577922247708,0.604554299084023,7.22015362878917
"6",345,6,30,502,6.28868876562519,5.16303385013527,3.14528351034452,3.39181100892308,3.6978990558304,4.91443309226945,9.25628513078506
"7",394,7,40,568,6.24244973411438,5.42026092441939,3.23414772749007,3.270344551865,3.33778296804792,3.71391357077838,8.16599871383174
"8",488,8,38,488,7.20186611609535,5.64009716127752,1.09863835549568,1.00231791397192,0.932768932676226,0.839551937851369,2.06688319193363
"9",516,9,34,534,6.40469790923981,5.35194676463872,1.35007701329726,1.20866288543729,1.09667685506624,0.906876226395741,4.257340126812
"10",520,10,18,416,6.12333239671573,4.59234001585108,0.698068861227274,0.63541167961587,0.594465010293856,0.574657326678813,5.25595134221016
"11",575,11,30,418,6.89927315501189,5.23769986966717,0.571939929842115,0.469350589188278,0.390318781494185,0.243722383450747,0.111184086175114
"12",597,12,24,434,6.54951516164744,4.95942100667998,0.701226496399537,0.620979866660267,0.562214578395545,0.472544394981846,1.33710423261546
"13",610,13,28,558,6.17912669848899,5.14788868362661,1.18434168427016,1.03268265299632,0.906643541697949,0.641997514037877,0.39553090939942
"14",613,14,26,448,6.64054495526978,5.0056162627348,0.860468916866139,0.811339296678379,0.788229697364166,0.846069593181983,4.98694118312584
"15",684,15,30,464,6.82594721746197,5.22884945353945,0.749242903081194,0.659703506509036,0.594073046328843,0.495048526581913,1.39828874731275
"16",712,16,8,486,5.36065724024616,4.29458472066078,1.55952594864833,1.55355783661993,1.57337446495117,1.77764094373928,6.12870350866994
"17",714,17,24,480,6.47772485115054,4.93310894798391,0.810104831408456,0.73417246406427,0.680467478046864,0.614252110973209,2.09423106627189
"18",852,18,30,496,6.48525878302638,5.24233515599349,0.94347239466694,0.805489003384903,0.693492830397397,0.466777020336449,0.218422730139971
"19",855,19,24,528,6.01042554301745,4.98809709400839,1.4146173079489,1.29669130029407,1.20137166539577,1.01584710798891,1.26481769560806
