"","ipr","ip","Recoveredt","minevent","damageD0","damageD1","damageD10","damageD11","damageD12","damageD15","damageD28"
"1",115,1,30,358,6.91640951072511,5.23835472584246,0.801420231071562,0.698926897433609,0.616155198643282,0.443623154287607,0.148431908992678
"2",49,2,52,458,7.74927588114932,6.30379932157613,1.27632013740422,1.10708701926087,0.967522491384685,0.674350681471422,0.294431056798145
"3",65,3,56,496,7.45789915784323,6.21748471462841,1.70348922240332,1.52982965177155,1.38251797720565,1.05617330194801,0.587061832301572
"4",87,4,44,406,8.03966409861514,6.14024477777246,0.911730401245236,0.787364523244545,0.687450079947218,0.482407530246615,0.157693656242788
"5",88,5,70,566,7.58647344123253,6.53423507284123,2.23282166314063,2.0444994352899,1.88346633161727,1.52601945033176,1.19877748112768
"6",99,6,60,388,8.55768122190049,6.84502579299155,1.25106609297936,1.08521261630322,0.950466190861926,0.672635590140268,0.25464070052284
"7",21,7,76,406,10.2254860133744,8.03937755309986,1.58313527828446,1.40154159663302,1.25188369224498,0.931426596951932,0.386718588156551
"8",30,8,76,378,10.3976668567317,8.21234386293249,1.23850904661667,1.04759494087005,0.89529778194423,0.593167678049982,0.204797370716408
"9",63,9,72,450,8.2897394638958,6.89258105146046,2.62414796001168,2.52758317011921,2.4651575906993,2.46457574682018,9.28480535394224
"10",71,10,58,396,9.01141726197678,6.96027401245731,1.43325101086983,1.29440920295183,1.17979573286831,0.92981843766807,0.439439859804124
"11",73,11,82,468,9.4526465677627,7.72881817312394,1.96828478603102,1.76888165976413,1.60031418670513,1.22430014308804,0.570495410252705
"12",184,12,62,508,7.64968839492987,6.40807362938772,2.10766521664405,1.94130229980622,1.79718766778024,1.45962791623414,0.724645856109753
"13",208,13,70,490,8.6754968692788,7.09728139177214,1.98685926416524,1.82009346545891,1.68145005781448,1.38764616024482,1.58091111241619
"14",281,14,70,480,8.63445639444882,7.13393976243725,1.50728366653392,1.29614640083998,1.11998818084931,0.74358846717751,0.189591846621767
"15",501,15,72,390,10.1558015443267,7.910270339976,1.33685536051647,1.15832997311607,1.01253965809561,0.706151591472492,0.208712949205965
"16",538,16,70,444,9.26425805001304,7.41654691955644,1.68459494285537,1.5050976902242,1.35531559203805,1.03016728198586,0.531005678863958
"17",554,17,58,560,6.94912361729455,6.00734761132376,2.45273106151801,2.30099926354164,2.17116451063789,1.8875746132988,2.39571445225309
"18",627,18,66,462,8.23755891130833,6.78166741989112,2.12334643860896,1.98348916859148,1.87204725115007,1.66967180495429,3.22839794915047
"19",634,19,66,422,9.56963788462165,7.47513274817871,1.27326561100562,1.10866221098296,0.975317287571639,0.699062174560711,0.252995170944586
"20",637,20,72,476,8.28962201088989,6.92362145795231,1.90120088941887,1.70369377445453,1.53524188913926,1.15673708293517,0.550570055477351
"21",702,21,72,376,10.8101869090208,8.28748287377344,1.09375474784622,0.925620032378361,0.79348772769694,0.536267770344004,0.191386265290052
"22",811,22,82,398,10.3488630413866,8.30930257506296,1.56260182475153,1.35239402176172,1.17943403706205,0.813924651444182,0.235071722930625
"23",831,23,78,458,10.0582008007961,8.00360501525292,1.83211377625226,1.6609410975107,1.52239696566088,1.24274552307227,1.25327579621617
"24",936,24,76,450,9.38907017105846,7.60399578427878,1.61928955473816,1.42498831533678,1.26430450825976,0.921662299491629,0.347164305272773
"25",954,25,80,492,8.18875290162501,6.97555678324501,2.38364290994154,2.19114060178651,2.02544268363646,1.65043460641079,1.8109576559536
"26",1074,26,68,414,9.14920679788949,7.34536670619749,1.44906173708868,1.26404216337754,1.1113582231753,0.78672091626595,0.258943223820955
"27",1385,27,72,396,10.1821336062151,7.94406017799185,1.25430590438303,1.07211893852042,0.924595453463629,0.621877398548052,0.192704084068716
"28",1550,28,80,430,10.3994332930745,8.23329182889576,1.57565022283392,1.38060126179758,1.21946505229013,0.873416181391314,0.275704768123269
"29",1606,29,70,474,8.34564890338293,6.90529923615384,1.96278465788656,1.77232678892811,1.6084792524554,1.23344220988977,0.545261685286879
"30",1651,30,84,392,11.3525781282651,8.8517554159404,1.61513002682187,1.42815856767631,1.27643246898295,0.959088318075418,0.405158558051005
"31",1752,31,74,430,9.54647263039838,7.68917838088913,1.26821457669272,1.06544162627134,0.900945964740917,0.566609331096396,0.127979089048252
"32",1834,32,70,364,11.3212420732626,8.4981231609443,0.926001482337907,0.772377401069671,0.653450506604269,0.426376543243095,0.124625853605747
"33",1885,33,64,476,7.80411720905393,6.56437169660233,1.7555826925083,1.56239561840972,1.39869306728129,1.03684308824921,0.41805146086289
"34",1900,34,80,414,10.9897471010514,8.59028274767412,1.40698427493173,1.22453053121014,1.07842373432446,0.781671730827361,0.309466130088732
"35",1940,35,86,534,9.2922983950199,7.75714882087028,1.95985031244978,1.73419931022978,1.54365467186439,1.12546633399841,0.475473435689956
"36",1942,36,66,430,9.22291411682789,7.29676563277999,1.25445364215948,1.07923096016987,0.936757632535681,0.642534058200568,0.209221731761187
"37",2017,37,80,442,10.2230328928658,8.1741906573979,1.61317609837556,1.41033616821402,1.24328360985099,0.890320455400154,0.378361250423342
"38",2051,38,78,412,9.77235019297594,7.8481187002569,1.59667073230569,1.39866189022267,1.23488015434095,0.885808702117935,0.368296600970104
"39",2086,39,68,462,8.38280187933552,6.92579581607348,1.72750896593545,1.53919264430141,1.38136523066573,1.03987327117071,0.58174268273671
"40",2101,40,84,386,10.7420918219599,8.48963527364443,1.76405435586277,1.57258923831958,1.41421672274508,1.07117581260699,0.427065386870608
"41",2188,41,68,464,8.71652719003817,7.12213124608321,1.46649801035947,1.2712598060617,1.11019604191411,0.773689362634525,0.423310384402648
"42",2223,42,84,488,9.99810148958337,8.08827455377805,1.89394917409676,1.68641845137882,1.51264518969078,1.13532014056049,0.58234933595103
"43",2257,43,76,466,9.5610579571852,7.70652793177575,1.719176363848,1.52967302047297,1.37243144818798,1.03428873116548,0.524284649602592
"44",2312,44,76,416,10.0860679592914,8.00112901586829,1.29551319568366,1.09817988290773,0.93831997086449,0.611972558538541,0.156474488232821
"45",2344,45,76,454,8.36366997976966,7.07468892502023,1.95017828835185,1.74509098647152,1.57211772220927,1.19461632566254,0.653882843514219
"46",2507,46,84,446,10.8828775567647,8.62880337645812,1.53317831746452,1.33089690321939,1.16759115061742,0.835984430879533,0.410756536900818
"47",2619,47,80,398,11.0333457134583,8.61432948819551,1.30153671095467,1.11608915519726,0.968484634467244,0.673739636545226,0.241932051264748
"48",2656,48,60,442,8.86362135075588,6.98082469889916,1.22248061369599,1.05788428622484,0.923251588046044,0.640909489286527,0.204221516032293
"49",2713,49,80,346,11.7464163737222,9.03735710978237,1.15301403260873,0.971147274607048,0.828393613196,0.550295775782362,0.181997525706619
"50",2752,50,64,510,7.99129199194224,6.64346606349725,1.64491691218588,1.45394769331235,1.29293752490665,0.94045333879891,0.386525011376977
"51",2777,51,78,378,11.5719125610888,8.82212667678991,1.17925177178068,1.00300489381303,0.863381810794577,0.58602843160215,0.193300525089607
"52",2790,52,82,478,8.97074201696758,7.51288010336071,1.82020432244058,1.59858456267513,1.41316271763724,1.01591425993367,0.490366910951465
"53",2803,53,70,448,9.19180819132729,7.35118055575153,1.6829246386061,1.50754940635091,1.36184392890403,1.05006062748858,0.751843065838322
"54",2844,54,88,394,11.0147913704684,8.70683913354607,1.86032473122379,1.66448107013065,1.50220676855439,1.14946568044567,0.477159837268293
"55",2897,55,74,414,10.8328913691113,8.35757270229186,1.23243137484446,1.0563405596526,0.916012758900717,0.636035874079004,0.311656948894322
"56",2904,56,68,412,9.17138361831689,7.33089118566302,1.4266375655679,1.24728538178006,1.09990414011769,0.789021524689227,0.314363860772669
"57",12,57,110,402,13.4384281167409,10.7870595748332,1.76468633760457,1.49474461564894,1.27702387469919,0.836750613081545,0.233122154251978
"58",31,58,92,430,10.928854414771,8.79927856205902,1.88706046973698,1.6695227034335,1.48941306537561,1.1040145149792,0.511528870195836
"59",75,59,90,412,11.5560150812585,9.05867087724921,1.87730244030501,1.68485529768829,1.52675099939743,1.18867708123548,0.713066655047253
"60",83,60,102,420,11.0741557386638,9.13052779514174,1.92345163740532,1.66827178241986,1.45700643362784,1.00980493121146,0.336687060407415
"61",148,61,110,490,10.6421449621114,8.95856890014525,2.29448979542629,2.02032113344909,1.78842809915555,1.2821466215452,0.687161802100599
"62",172,62,102,452,11.0813258992322,9.12773810825372,1.95361211329071,1.69465166958974,1.47993920432271,1.0264605246966,0.410489303092808
"63",177,63,96,400,12.3875067710602,9.71916665745981,1.86646040054488,1.65133684388879,1.47471752197526,1.09768192945452,0.42313699760738
"64",290,64,94,442,11.4397441058578,9.19973658225787,1.65905923383452,1.42093130323461,1.22631380652525,0.823410449586272,0.248866851035371
"65",314,65,98,432,11.048700545299,8.99470013806215,1.97895301904853,1.74194050077435,1.54450256811066,1.11807270678374,0.395357597663864
"66",333,66,110,452,11.8724177950032,9.66253545786823,2.36714087262385,2.12895477398735,1.93107985162766,1.50793959580123,0.993016593159929
"67",334,67,102,480,10.4364595992609,8.65083842987162,2.36947386878078,2.14162781014231,1.94862012450242,1.51640545960316,0.665093944647804
"68",387,68,104,388,13.3665999158795,10.5557415222468,1.57756657464261,1.32744583499794,1.12710600191881,0.726796468041062,0.200722773219734
"69",472,69,72,454,9.18818312641132,7.4048434421171,1.70544637354797,1.52771537656447,1.38002664873768,1.05990033742809,0.491428572427943
"70",506,70,92,404,10.6463345762431,8.64709972968696,1.75569453043808,1.52769914385162,1.33943954286805,0.94067509849371,0.308433393314272
"71",520,71,90,388,12.591384575893,9.73093244562109,1.41124120433629,1.20367966493151,1.03856901251353,0.710782786974251,0.348195766823828
"72",535,72,88,346,14.0861360962763,10.5135545850054,1.23889240124042,1.05675191237581,0.915791493593395,0.646482299225628,0.325552943804845
"73",567,73,82,460,9.46182975412709,7.77951783835419,1.81397753636432,1.59579296330281,1.411839940873,1.00741605568704,0.335180821729124
"74",592,74,104,388,13.5155491619717,10.5621033472636,1.9665480712671,1.74358789476913,1.56318586208206,1.1900369422438,0.661683474375993
"75",615,75,82,444,10.3550694789845,8.28497171098849,1.78342538305339,1.6043604844934,1.46290731247227,1.20097276850186,2.21658859767851
"76",664,76,104,398,13.2402600912972,10.393657805147,1.88032780509999,1.65340131901993,1.4689030978889,1.08278078648567,0.423948694169149
"77",684,77,94,398,12.1417921276149,9.5578496520752,1.79531362555537,1.58556612263681,1.4153660516611,1.06430337958419,0.671681016326889
"78",711,78,92,402,11.1650317576387,8.87091321229406,2.03552636208878,1.83214654341215,1.66301214388697,1.29751463072109,0.833583201670691
"79",714,79,94,450,11.201136975997,8.99195678724554,1.7742972591957,1.55227234837863,1.37116499827014,0.998790413516164,0.633552352984205
"80",721,80,100,442,11.090087260136,8.97733844729708,2.31862352471069,2.1015649689209,1.91889584054253,1.51533406592591,0.870932052152082
"81",722,81,82,446,10.689488901318,8.48400537416144,1.4341223263399,1.22775533808009,1.06037178810711,0.717505295828596,0.239864559643716
"82",744,82,94,516,9.85175451536798,8.18046040024933,2.22482711277623,2.00721849939112,1.82375601872137,1.41937665356408,0.761594284861803
"83",747,83,90,430,10.2461290478443,8.44036325962305,1.76509362384588,1.53603743748602,1.34752135418814,0.952819241844207,0.406649815904751
"84",797,84,80,472,8.89063682366575,7.44931821107483,1.80481481579651,1.575275211735,1.38088397848399,0.953175896482408,0.259454604113221
"85",805,85,90,542,8.51679762827881,7.32143684810814,2.52503579587725,2.32096808974242,2.14797092082368,1.77487663960114,2.12341991527568
"86",832,86,110,474,9.65076771196078,8.13683731101344,3.15223280986084,2.97647270730188,2.82932779596125,2.52156567958286,3.32418282926762
"87",840,87,90,422,12.0575604034528,9.46575319099885,1.47375219510436,1.26205509925857,1.09285363937758,0.754602948611692,0.321901574470922
"88",858,88,106,348,13.9733565098667,11.0405668623957,1.52608521071516,1.27669266879089,1.07946973792687,0.694087284337983,0.216643292164728
"89",889,89,106,460,11.1752511107228,9.22187158756331,2.11527479081306,1.8672961303388,1.66625059208907,1.27988385985538,4.69925133816393
"90",920,90,118,402,12.9384639976082,10.455300041564,2.37208757160458,2.10832928569853,1.88848696751013,1.41442600151747,0.743332325620264
"91",928,91,108,372,13.3144147154946,10.6345907104286,1.7034519320161,1.44024197503893,1.22843889118613,0.802924816623107,0.245981932848468
"92",951,92,92,472,9.60247562351713,7.99940767286742,2.25086715549594,2.03221251930749,1.84668053916273,1.43561830179605,0.961481083291724
"93",957,93,114,466,10.3497916461336,8.68970899386378,3.10756996061352,2.96054054270902,2.85956600731637,2.80484934825809,10.8126558702856
"94",1047,94,112,428,12.9812563412751,10.5529840329531,1.85220093259893,1.57967856394239,1.35849904452571,0.905405964229494,0.258922488949344
"95",1065,95,74,490,8.45592111675729,7.03944965362582,2.05763510432725,1.86434277798745,1.69805734431715,1.31617004152104,0.569528468047932
"96",1103,96,108,394,13.9483936680129,10.9246334073486,1.83962886210196,1.59735885513626,1.40281650481519,1.01092896353616,0.653439545596793
"97",1112,97,92,426,10.8938730624592,8.81511012899782,1.68269196873,1.45858063320951,1.27628069398449,0.90435031664063,0.561109649467587
"98",1121,98,94,362,12.8717172040817,9.96478151874186,1.50950804330896,1.29396118356135,1.12017722156592,0.763394028243259,0.222613050667495
"99",1124,99,94,560,8.88498857310225,7.59560291397451,2.4682893330331,2.2493374831378,2.06244125499971,1.64899170724197,1.30733476396626
"100",1131,100,104,390,14.5409442378737,11.2127817531689,1.72619265423027,1.50310111826444,1.32659797102456,0.978379643511623,0.627798327250928
"101",1151,101,90,404,11.8805011660208,9.24705061529741,1.73290126204427,1.53846199518879,1.38175399168244,1.0665049111148,1.19381465983479
"102",1152,102,100,328,15.0924419713671,11.5200809678609,1.25439944584046,1.02427417198136,0.84579457534425,0.508710221122116,0.117630741872758
"103",1171,103,98,494,9.88469101664457,8.300512612563,2.19269630484557,1.94724139494146,1.73880898311457,1.27617049308044,0.515267639991745
"104",1174,104,86,418,11.3614569185496,8.92236125397038,1.44990640640664,1.2462607378054,1.08304579279454,0.758116167618275,0.58035624472259
"105",1222,105,102,356,12.9768666083237,10.2818075660034,1.77155147412114,1.54676081292176,1.36745957442598,1.01038969802679,0.616149675551131
"106",1223,106,94,386,11.1507594770476,9.02721556107391,1.68225806359701,1.43919227957456,1.23921274406956,0.820464536989912,0.217694973589495
"107",1226,107,92,358,14.5994407903401,10.9002856786201,1.18332241924776,0.98952512694703,0.839442932409987,0.552297988998935,0.166017504884243
"108",1230,108,90,426,11.404591607043,9.06035048030169,1.50427846092676,1.28381221889979,1.10583528475277,0.745063424236804,0.246536783391297
"109",1240,109,88,458,9.99318043145868,8.20729650698502,1.70927903916284,1.47792611170107,1.28693851443417,0.889386648841426,0.591087688975856
"110",1252,110,116,366,14.890548519912,11.5713282716991,2.22944483580682,1.9839263980094,1.78189613514957,1.34757653275371,0.551650115308791
"111",1254,111,80,470,8.75223056663907,7.29371736418594,2.20372017857388,2.00833021932092,1.84102920403205,1.46238921530597,0.888356467538118
"112",1269,112,92,340,13.1748284302519,10.125466907215,1.47267381885909,1.26891632244866,1.10775734605014,0.788476730840519,0.312188817716166
"113",1411,113,98,410,11.656137152565,9.37730280903019,1.76490063285598,1.51869862916963,1.3155393914289,0.885939332851306,0.228983480459914
"114",1414,114,80,422,10.7344847852005,8.45088853097498,1.50974709865418,1.32300399529251,1.17270712520479,0.868064021384671,0.578435966349125
"115",1444,115,86,390,11.6089483348262,9.11925441449042,1.42477497554027,1.21550008238731,1.04669571012613,0.702691948093966,0.220064454788193
"116",1445,116,92,398,11.3827403159057,9.04626954305147,1.73445182140505,1.52172150289871,1.34863089967923,0.992486798087224,0.681528840404242
"117",1451,117,82,436,10.6430322663187,8.43660548801266,1.48746893660153,1.28366817741321,1.11779788173638,0.776105185634807,0.378417264262393
