Day,IFN_S
1.005628667,0.969199668
4.025157233,0.957874057
4.894957983,0.970088357
6.981132075,0.978710405
7.987421384,0.957874057
8.993710692,0.957874057
10.08073041,0.970088357
10.94339623,0.978710405
12.02539506,0.969199668
15.14864436,0.959477666
18.06564135,0.969199668
20.09869986,0.970088357
22.04336452,0.968311794
