"","CL_percell","Km","Kc","F_extracellular","Knew"
"1",2.42790540794008e-06,0.000254338711794535,2.33692631337187e-05,0.378843526257953,0.00646168851551536
"2",2.28773966681999e-06,0.000267689174560275,2.21063590637604e-05,0.256759503495539,0.00615808352912276
"3",2.33143307602898e-06,0.000261947280399138,2.35587947030882e-05,0.324075246705699,0.00640979594173325
"4",2.18598834591298e-06,0.000268646998012579,2.415909673803e-05,0.163746932508308,0.00663685085776431
"5",2.33610057485194e-06,0.000276398304996497,2.31918674681274e-05,0.355406920925487,0.00680322950730755
"6",2.41569822177872e-06,0.000261793127807181,2.36073062688461e-05,0.539668201192712,0.00677055913352825
"7",2.55148767019313e-06,0.000270584158814839,2.32285382517021e-05,0.341900105815958,0.00691008637100249
"8",2.54545609794633e-06,0.000267524774587701,2.32610818659411e-05,0.349984302401838,0.00694279945919418
"9",2.54507840883954e-06,0.000241760726799509,2.32440309078901e-05,0.858577982552486,0.00671021825738717
"10",2.399187924079e-06,0.000270311954126882,2.63802342721266e-05,0.490216642069943,0.00654351501168193
"11",2.57942196873642e-06,0.000254597659843495,2.57178300556349e-05,0.437871723337254,0.00627493422487791
"12",2.47490356572e-06,0.000255308445947488,2.67839168588361e-05,0.39384118714158,0.0069929065022527
"13",2.446156565652e-06,0.000246990480283098,2.61865692301895e-05,0.137901026332791,0.00663326849669184
"14",2.52368243281688e-06,0.000256088115582279,2.57628315407593e-05,0.229336234671652,0.0068338873226448
"15",2.56903108917006e-06,0.000260646392425951,2.64069187620298e-05,0.191150749280424,0.00707527992290263
"16",2.27905194432655e-06,0.000245627113790771,2.574930604628e-05,0.230817529654746,0.00682832810837685
"17",2.25367541168914e-06,0.000261982534308695,2.58444270276658e-05,0.342435023031932,0.00672650878799861
"18",2.50554581070001e-06,0.00024525921355486,2.54820251787342e-05,0.266608367142286,0.00665061015182784
"19",2.48011941727571e-06,0.000248254559653054,2.57642943192616e-05,0.379426913567934,0.00686373390535772
"20",2.41253870656776e-06,0.000250502853624645,2.43272677041236e-05,0.181342306589594,0.00697605329357918
"21",2.19888651875e-06,0.000233680001220095,2.63712146063414e-05,0.440441079472857,0.00686292376434099
"22",2.30377228069951e-06,0.000240573339747214,2.6732995318085e-05,0.83932917240553,0.00672162062122579
"23",2.33174049302839e-06,0.000232744410176806,2.62237098969087e-05,0.657488856301607,0.00666845806936638
"24",2.24781667630796e-06,0.000241267839904425,2.48908580129588e-05,0.86895896647073,0.00640131360309599
"25",2.17557923419025e-06,0.000258250427384923,2.38024036845806e-05,0.191306682545502,0.00672433043763904
"26",2.18372156487066e-06,0.000254078436322781,2.40453326402313e-05,0.209157352164565,0.00666700132929632
"27",2.378931326776e-06,0.000267537135585519,2.20315801806042e-05,0.337845324328934,0.00603015594106082
"28",2.30324106097972e-06,0.000262006369751066,2.35411523709742e-05,0.328662730300556,0.00645247002582229
"29",2.34450362620507e-06,0.000268540070190079,2.6214558024707e-05,0.605192296368115,0.00663684201771292
"30",2.59326049397251e-06,0.000241156041882547,2.62066001281344e-05,0.921367674156467,0.00669773709705824
"31",2.6356894811533e-06,0.00023661218135566,2.59844755961792e-05,0.832397584666299,0.00679715097456446
"32",2.63908473850778e-06,0.000234519068329866,2.60768802792665e-05,0.832426210287238,0.00675340656641566
"33",2.51163360785247e-06,0.000252808534319262,2.31561284477742e-05,0.461526230355728,0.00636355516066395
"34",2.41691055569712e-06,0.000265814199704829,2.36999183625847e-05,0.849002348480969,0.00611777668022962
"35",2.276203552456e-06,0.000260968285927179,2.52712558501237e-05,0.824630179563202,0.00606525692121884
"36",2.21882350478574e-06,0.00023211439243519,2.48411215115944e-05,0.748195290730336,0.00681027703061156
"37",2.22323204564115e-06,0.000231126122866433,2.48593004818556e-05,0.730466465030421,0.00681066446121436
"38",2.22320852577136e-06,0.000239907286824689,2.55587691393812e-05,0.542423302499189,0.00676947331594182
"39",2.40705045437572e-06,0.000263878639688982,2.68214346865595e-05,0.381801967623995,0.00613488376451664
"40",2.32887956293925e-06,0.000253477986283911,2.58990278215362e-05,0.357822193239772,0.00654846444279145
"41",2.19635497937011e-06,0.000228900066976328,2.50717754376047e-05,0.918668062539624,0.00650031527557778
"42",2.21298095370665e-06,0.000233465947273504,2.25060005440534e-05,0.80405024961969,0.00680423285061874
"43",2.6359385962464e-06,0.000242651071971403,2.26260378895378e-05,0.417079653938116,0.0067559015540352
"44",2.48602729385745e-06,0.000243108136169602,2.21343809854722e-05,0.746248312868692,0.00670882872487496
"45",2.46805841986725e-06,0.000234799592899217,2.23222611003817e-05,0.746690202136688,0.00681574789160516
"46",2.56282184083324e-06,0.00024331364170408,2.41156048354277e-05,0.607536299348315,0.00611692945951956
"47",2.62374173748088e-06,0.000256254071371018,2.47090473304706e-05,0.386482887820028,0.00624449984623486
"48",2.64811550795617e-06,0.000242393888341554,2.44037717334688e-05,0.500108783343616,0.00632622565190196
"49",2.47510450675931e-06,0.000274863318067392,2.55291804105909e-05,0.373960229224464,0.00718583939445725
"50",2.55017397714895e-06,0.000277208068147089,2.49278279627296e-05,0.369853486258426,0.0072455428471632
"51",2.43272010582525e-06,0.00025331529333672,2.31808753007618e-05,0.540149710640392,0.00666641514289364
"52",2.51257020354e-06,0.000263239896376983,2.35445343244545e-05,0.698518057178439,0.00625466313261518
"53",2.46730441773502e-06,0.000263603791541798,2.2342260705617e-05,0.784383412823911,0.00719151802244232
"54",2.45992105689219e-06,0.00024030273406523,2.26001213918616e-05,0.591366847706236,0.00698750543132735
"55",2.39002137866815e-06,0.000265602600827861,2.54549701354449e-05,0.492183663129505,0.00690862882035953
"56",2.37665198478007e-06,0.000279068290005263,2.66483654186199e-05,0.364931443781004,0.00707104348714879
"57",2.37665198478007e-06,0.000279068290005263,2.66483654186199e-05,0.364931443781004,0.00707104348714879
"58",2.4867707228105e-06,0.00026467300192546,2.67554718341316e-05,0.398460998593929,0.00704848073797937
"59",2.56031155996075e-06,0.000244389675426461,2.2165243098156e-05,0.320917497207507,0.00688155161587527
"60",2.52633216894275e-06,0.000247659889291421,2.23461537658618e-05,0.381552251024465,0.00689099800132101
"61",2.38148572211016e-06,0.000228769299074448,2.52461405571737e-05,0.423099936217632,0.00683325709371934
"62",2.24015742071823e-06,0.000238738456768168,2.41340667446289e-05,0.614061561518927,0.00690891709388683
"63",2.19005983329548e-06,0.000229230019968307,2.36698561702635e-05,0.633143654900322,0.00684527594596703
"64",2.19119838107066e-06,0.000229615322684363,2.34722445240538e-05,0.631566086163908,0.00676341175044379
"65",2.22822537699838e-06,0.000233445743946451,2.3288794462195e-05,0.610029160244202,0.00656005010653656
"66",2.41550596393515e-06,0.000255936032085129,2.63876438050215e-05,0.658711426088329,0.0060399771748505
"67",2.28685254697871e-06,0.000244833251917267,2.44925186669848e-05,0.596720741550449,0.00667083500732975
"68",2.34322689063974e-06,0.000269570068555648,2.21505943580622e-05,0.283555344177486,0.00697156273204191
"69",2.46036296652264e-06,0.000242404317143215,2.32832284674799e-05,0.62587678741443,0.00631646956128538
"70",2.61702664558782e-06,0.000264314771423206,2.48155625880471e-05,0.356009662142213,0.00621280959429843
"71",2.55857568912215e-06,0.00026788344812158,2.36150765269683e-05,0.253957106951957,0.00607773391220054
"72",2.27405538953853e-06,0.000266028837368679,2.31827070973355e-05,0.450339047804045,0.00701984830836517
"73",2.35714152523401e-06,0.000268345523500312,2.60615886798706e-05,0.357122156581918,0.00681715320384176
"74",2.4685557771474e-06,0.00025460368436282,2.59725573448948e-05,0.382925471372833,0.00671872613013903
"75",2.46135244124464e-06,0.000243321956248602,2.45606763050728e-05,0.95960509804761,0.00634736566092411
"76",2.57246779653638e-06,0.000233299342378383,2.43640044359874e-05,0.768525865206928,0.00626330448517097
"77",2.20272935007685e-06,0.000260563312697284,2.52776490422399e-05,0.197658431656911,0.00597753544467564
"78",2.1782471986566e-06,0.000267832153821026,2.51423399452776e-05,0.236894984851403,0.00602215379356824
"79",2.18786440305241e-06,0.000272011595198283,2.5084377264037e-05,0.255144384645781,0.00609530583928055
"80",2.27003262054985e-06,0.000247266151395107,2.3803115344742e-05,0.278108020779589,0.00608557915507693
"81",2.35195469198621e-06,0.000248110555557128,2.37607623317035e-05,0.338642945304767,0.00611401218692373
"82",2.33772605609543e-06,0.000242698251632678,2.37306615237763e-05,0.391259414265558,0.00599226500383927
"83",2.29308794093909e-06,0.000243235454486633,2.38922588665599e-05,0.402756311073785,0.00616200621578878
"84",2.21434372472483e-06,0.000245116214992606,2.55971869151005e-05,0.667463357591423,0.00689778121689334
"85",2.26214736925802e-06,0.000256913712091331,2.54421874333187e-05,0.746763402015346,0.00692311647828043
"86",2.50391046324162e-06,0.000270171159387024,2.60956338700726e-05,0.421503262714817,0.00712588914116612
"87",2.44081637103493e-06,0.000275246321742386,2.64451167430976e-05,0.321216720889441,0.00692652733202337
"88",2.38627458078595e-06,0.000279156079433376,2.66138683601918e-05,0.418079804960571,0.00714876842357167
"89",2.43507314100555e-06,0.000243069661241134,2.57090134423919e-05,0.844689556845512,0.00680514357429113
"90",2.46878960400752e-06,0.000265889796556691,2.42881319884081e-05,0.853298675559778,0.00694468215624369
"91",2.31181499173692e-06,0.00024519169673081,2.32067643722389e-05,0.60968367640693,0.00644974620530033
"92",2.26081216517508e-06,0.000263992314508508,2.28366663266742e-05,0.328345621718464,0.00678232538590867
"93",2.31948877819551e-06,0.000279274432434759,2.28429271635994e-05,0.396787532483782,0.0065638829176499
"94",2.339612524358e-06,0.000243549127557478,2.24299727896796e-05,0.380834120625546,0.00665925578150485
"95",2.39444128080768e-06,0.000242132855100496,2.24770986759671e-05,0.399211423528125,0.00674077438677965
"96",2.63033140605473e-06,0.000239106237111773,2.2936501687866e-05,0.547990515265713,0.00710024142988744
"97",2.6138510109963e-06,0.00026497526588908,2.30206539585767e-05,0.157576682917727,0.0067181502278965
"98",2.63630406827868e-06,0.000262098246330461,2.31498829024445e-05,0.159573501923219,0.00685890713621477
"99",2.65867032961704e-06,0.000271061134213144,2.38753476103815e-05,0.20185722930613,0.00673137076249483
"100",2.37069504231878e-06,0.000275644191318445,2.41933955181471e-05,0.272826995160214,0.0068397954460059
"101",2.34777838073295e-06,0.000278516829963055,2.44666426307017e-05,0.254418959181478,0.00686691597103751
"102",2.26055557568812e-06,0.000264470352380647,2.51381381358268e-05,0.451775831398093,0.00668614019324446
"103",2.44836787653832e-06,0.000253874774283215,2.5708848490403e-05,0.612640587512198,0.00717402117255422
"104",2.25882516315469e-06,0.000268735664916136,2.56312303002227e-05,0.360698269289616,0.00632166670885414
"105",2.20756312896903e-06,0.000266842801814829,2.56174140923505e-05,0.467839491830762,0.00644349427814892
"106",2.35256367049521e-06,0.000276107291282334,2.39399618749009e-05,0.349147577446642,0.00661771422584326
"107",2.39897334984042e-06,0.000249852352344942,2.2684750184711e-05,0.551130237516779,0.00610836349464361
"108",2.41785209156127e-06,0.00024936382429912,2.21508261852425e-05,0.500227973614645,0.00613689050465091
"109",2.3943092462652e-06,0.000249704851068855,2.20575710410395e-05,0.499994365008524,0.00616676109104218
"110",2.18005739696203e-06,0.000277556091112299,2.50224613469117e-05,0.320710238706348,0.00707574625389752
"111",2.36532698495471e-06,0.000270127248997407,2.43506619075174e-05,0.347351280481579,0.0070185093997447
"112",2.32491815779902e-06,0.000270918756038969,2.56096855223264e-05,0.197366126943492,0.00698660847913717
"113",2.29151400971857e-06,0.000248737622214182,2.55878137183518e-05,0.416536115674167,0.0065448189974049
"114",2.18707321869913e-06,0.00026102566300814,2.59783885365687e-05,0.625112493453667,0.00672188159184747
"115",2.34511887117226e-06,0.00026711520497881,2.53451183322046e-05,0.409137283489327,0.00660062844307906
"116",2.36513053499816e-06,0.000273511198549854,2.67382178453853e-05,0.447195012317616,0.00626327938994657
"117",2.45552813531975e-06,0.000267522468262645,2.44782244902658e-05,0.348149682603394,0.00643217950567249
"118",2.59852389993081e-06,0.000277907472950505,2.67821945166624e-05,0.387011951098754,0.00645165988082118
"119",2.52120124274423e-06,0.000260566821450275,2.67593725506912e-05,0.743079421725077,0.00724315142191796
"120",2.50843113108652e-06,0.000261762620890688,2.63915173273237e-05,0.484753721376244,0.00688383904642392
"121",2.45287122031109e-06,0.000263983589043515,2.34493518322407e-05,0.316212750845699,0.00687134388950434
"122",2.60302148196899e-06,0.000279083513636042,2.44401706519267e-05,0.34613475893886,0.00655976579689797
"123",2.53993646192168e-06,0.000243783404280901,2.43141081388088e-05,0.614570623319892,0.0064527891412049
"124",2.56252579290363e-06,0.00025850484001859,2.48295374570171e-05,0.391506172491334,0.00678969267674176
"125",2.64502915242686e-06,0.000248660711348946,2.2028079149336e-05,0.477904896735222,0.00708922004314207
"126",2.61946683600467e-06,0.000240963507086355,2.33969689668818e-05,0.256262511622282,0.00723776187984551
"127",2.20045460291641e-06,0.00023512175156144,2.31971329792874e-05,0.0923750638804237,0.00710591196763138
"128",2.24439817987972e-06,0.00023094946419995,2.3093426383684e-05,0.140050807275874,0.00696900284240766
"129",2.39247292980207e-06,0.000229053930479446,2.5953403798461e-05,0.428426972873711,0.00669918839537987
"130",2.56726328476265e-06,0.000255245324845608,2.55219647061031e-05,0.372363289344431,0.00644489347182096
"131",2.23608321902746e-06,0.000267970365737996,2.5280198178249e-05,0.202599934789395,0.00654911835658572
"132",2.19852521301831e-06,0.000277699038617038,2.27911438351568e-05,0.353992188658441,0.00666483004614082
"133",2.18131311964247e-06,0.000274897125961652,2.36038783122463e-05,0.335494914654045,0.00660714374855622
"134",2.19112386735556e-06,0.000273608824383899,2.35155650474705e-05,0.334045475819293,0.00665340400431904
"135",2.33077942916355e-06,0.000236044383033569,2.24901094220415e-05,0.337575000139911,0.00672810561325393
"136",2.32123371630859e-06,0.000229156799935063,2.28213295038683e-05,0.374570384681498,0.00634468810263794
"137",2.37601993855359e-06,0.000234011232537064,2.30473445248837e-05,0.41382123306551,0.00641714970094493
"138",2.23606103642925e-06,0.000251104323267558,2.29067391370555e-05,0.348837121070334,0.00619786183815557
"139",2.3538362312088e-06,0.000230368586000578,2.27859934145073e-05,0.138196314673191,0.00629915680085478
"140",2.33542292690547e-06,0.000259261969875879,2.4053775107048e-05,0.310212457609993,0.00674680328300273
"141",2.6193618743214e-06,0.000232293248851022,2.38992273233315e-05,0.146176093741317,0.00656432391990942
"142",2.64469410207609e-06,0.000229747437088973,2.4074523399537e-05,0.239774383778944,0.00656857679772766
"143",2.65801161902747e-06,0.000229842377290838,2.4125670516197e-05,0.238667353039247,0.00657949864179793
