"","CL_percell","Km","Kc","F_extracellular","Knew"
"1",1.96481188403896e-06,0.00023109451247123,2.09514503588731e-05,0.671483339807205,0.00675922999356027
"2",1.96481188403896e-06,0.00023109451247123,2.09514503588731e-05,0.671483339807205,0.00675922999356027
"3",1.94749883276611e-06,0.00021369273438078,2.20692364805117e-05,0.599336747305531,0.00773124782142883
"4",1.94749883276611e-06,0.00021369273438078,2.20692364805117e-05,0.599336747305531,0.00773124782142883
"5",2.45175276734636e-06,0.000203287717256831,2.37496083760293e-05,0.737084295294853,0.00554327026488741
"6",2.45175276734636e-06,0.000203287717256831,2.37496083760293e-05,0.737084295294853,0.00554327026488741
"7",2.04479134960216e-06,0.000232314795567386,2.57033283146126e-05,0.778349403446572,0.00644183286826095
"8",1.9842322220802e-06,0.000246790800304022,2.61847071964299e-05,0.685937335720916,0.00619071803646246
"9",1.9842322220802e-06,0.000246790800304022,2.61847071964299e-05,0.685937335720916,0.00619071803646246
"10",2.77788452235795e-06,0.000289379739169341,2.76341411468445e-05,0.5356231097977,0.00697891167197762
"11",2.81248076440748e-06,0.000239399719828354,2.84916319185753e-05,0.578318441422101,0.00634763843380049
"12",2.48438914552496e-06,0.000235541501384121,2.4997819559247e-05,0.760558939649612,0.00625991906737914
"13",2.89631717208818e-06,0.000251164397035521,2.9296029513681e-05,0.926504020089359,0.00717393471090983
"14",2.47928059754967e-06,0.000246330396840531,2.71287284494403e-05,0.913519782694737,0.00663291362787505
"15",2.57010320913553e-06,0.000269089525178782,2.77896151075875e-05,0.743105689378395,0.00668562894938861
"16",2.5805686199808e-06,0.000263301125884449,2.78261963765862e-05,0.741188826431238,0.00655091817216276
"17",2.37957875376081e-06,0.00024534062650782,2.67804916740561e-05,0.631258144121607,0.00569929929024131
"18",2.02374672204505e-06,0.000249979393841602,2.58361069430018e-05,0.551393119363606,0.00706867360525063
"19",2.25481392381299e-06,0.000269686872604853,2.25460354303064e-05,0.574250775954581,0.00652738985996382
"20",2.40635838774367e-06,0.000276350104611361,2.03966300279707e-05,0.524491273034525,0.00693365790631235
"21",2.51026727654773e-06,0.000282922304086417,2.05479049398917e-05,0.623331165306293,0.00692699934034966
"22",2.65059384084789e-06,0.000277229359286282,2.04426788923069e-05,0.424674500127531,0.0055656785373644
"23",2.7389389227794e-06,0.000265503268523391,2.05137848450445e-05,0.437027282889115,0.00575420938909442
"24",2.8492206074862e-06,0.000299627613524623,2.32259156308182e-05,0.498535265006438,0.00576559805093026
"25",2.89493356578549e-06,0.000294217835300671,2.30433568100724e-05,0.418250636895298,0.00574649302962969
"26",2.76660657895455e-06,0.000301486512788613,2.4386875208124e-05,0.4638833986719,0.00560309047549318
"27",2.82682894612715e-06,0.000289082717528718,2.20490960351548e-05,0.454116177475642,0.00563671228064302
"28",2.8954446435394e-06,0.000283054247666139,2.1431967103427e-05,0.448032810494354,0.00592149434776864
"29",2.16524749889742e-06,0.000216693023199812,2.46396682693051e-05,0.408875169781197,0.00620474176259524
"30",2.1672044143744e-06,0.000226763689214879,2.90541078638546e-05,0.321875863536469,0.00686065802461621
"31",2.81644926010184e-06,0.000221820372886287,2.27880167112071e-05,0.436183298865617,0.0078634628736874
