"","x"
"EpitheliumwithreplicatedVirus",0
"FreeVirus",8926
"EpitheliumwithVirusparticle",0
"EpitheliumLung",4e+08
"InfectedAPC",0
"IL6",0
"ResistantEpithelium",0
"IFNA1",0
"TcLymphnode",0
"ActivatedAPCLymphnode",0
"A",1e+05
"EpiKilledbyIFN",0
"EpiKilledbyIL6",0
"EpiKilledbyTc",0
"EpiKilledbyVirus",0
"Tnaive",1e+05
"IgG",0
"IgM",0
"CR",0
"CRP",0
"KCon",0
"C_intracellularRDV_total",0
"C_extracellularRDV_total",0
"cell_number",1e+06
"TP",0
