Compound,Channel,Experiment,Dose,Response
astemizole,hERG,1,3.00E-04,22.99368801
astemizole,hERG,1,3.00E-04,32.76304534
astemizole,hERG,1,3.00E-04,11.44781145
astemizole,hERG,1,0.003,46.43823264
astemizole,hERG,1,0.003,50.72711719
astemizole,hERG,1,0.003,27.77777778
astemizole,hERG,1,0.3,97.83588819
astemizole,hERG,1,0.3,95.29512404
astemizole,hERG,1,0.3,95.05050505
astemizole,hERG,1,3,99.2786294
astemizole,hERG,1,3,96.40718563
astemizole,hERG,1,3,100
astemizole,hERG,2,3.00E-04,9.661017
astemizole,hERG,2,0.003,0.277008
astemizole,hERG,2,0.3,90.327381
astemizole,hERG,2,3,88.356164
astemizole,hERG,2,3.00E-04,8.14978
astemizole,hERG,2,0.003,2.739726
astemizole,hERG,2,0.3,89.60499
astemizole,hERG,2,3,86.065574
astemizole,hERG,2,3.00E-04,2.923977
astemizole,hERG,2,0.003,22.001982
astemizole,hERG,2,0.3,92.3690205
astemizole,hERG,2,3,75.789474
astemizole,hERG,3,3.00E-04,-6.343
astemizole,hERG,3,3,102.313
astemizole,hERG,3,3.00E-04,0.945
astemizole,hERG,3,3.00E-04,-4.724
astemizole,hERG,3,3,103.08
astemizole,hERG,3,3.00E-04,-9.33
astemizole,hERG,3,0.3,99.894
astemizole,hERG,3,0.3,96.456
astemizole,hERG,3,0.003,10.206
astemizole,hERG,3,0.003,-1.155
astemizole,hERG,3,0.003,5.836
astemizole,hERG,3,0.003,0.452
astemizole,hERG,3,0.3,98.068
astemizole,hERG,3,0.3,94.028
astemizole,hERG,3,3,103.213
astemizole,hERG,3,3,104.594
astemizole,hERG,4,3.00E-04,8.01636
astemizole,hERG,4,0.03,8.01636
astemizole,hERG,4,0.3,91.32924
astemizole,hERG,4,3,100.6135
astemizole,hERG,4,3.00E-04,4.315961
astemizole,hERG,4,0.03,8.306189
astemizole,hERG,4,0.3,89.57655
astemizole,hERG,4,3,99.42997
astemizole,hERG,4,3.00E-04,8.376422
astemizole,hERG,4,0.03,29.05895
astemizole,hERG,4,0.3,66.08066
astemizole,hERG,4,3,74.35367
astemizole,hERG,4,3.00E-04,24.36116
astemizole,hERG,4,0.03,40.7155
astemizole,hERG,4,0.3,81.77172
astemizole,hERG,4,3,91.65247
astemizole,hERG,5,3.00E-04,-2.81938326
astemizole,hERG,5,3.00E-04,3.422982885
astemizole,hERG,5,3.00E-04,0.164473684
astemizole,hERG,5,3.00E-04,3.499627699
astemizole,hERG,5,0.003,-0.440528634
astemizole,hERG,5,0.003,3.545232274
astemizole,hERG,5,0.003,-1.315789474
astemizole,hERG,5,0.003,5.807892777
astemizole,hERG,5,0.3,92.24669604
astemizole,hERG,5,0.3,94.25427873
astemizole,hERG,5,0.3,93.83223684
astemizole,hERG,5,0.3,92.1816828
astemizole,hERG,5,3,98.76651982
astemizole,hERG,5,3,100
astemizole,hERG,5,3,99.58881579
astemizole,hERG,5,3,98.43633656
astemizole,hERG,6,3,99.66
astemizole,hERG,6,3.00E-04,-4.12
astemizole,hERG,6,3.00E-04,-6.12
astemizole,hERG,6,0.003,-17.67
astemizole,hERG,6,0.003,-4.83
astemizole,hERG,6,0.003,-5.59
astemizole,hERG,6,0.3,74.89
astemizole,hERG,6,0.3,52.61
astemizole,hERG,6,0.3,78.14
astemizole,hERG,6,3,99.4
astemizole,hERG,6,3,99.62
astemizole,hERG,6,3.00E-04,-2.39
astemizole,hERG,7,3.00E-04,9.0368
astemizole,hERG,7,3.00E-04,5.1894
astemizole,hERG,7,3.00E-04,-2.7827
astemizole,hERG,7,3.00E-04,-1.2511
astemizole,hERG,7,3.00E-04,5.9911
astemizole,hERG,7,3.00E-04,7.6615
astemizole,hERG,7,3.00E-04,7.3006
astemizole,hERG,7,0.003,36.814
astemizole,hERG,7,0.003,24.774
astemizole,hERG,7,0.003,16.22
astemizole,hERG,7,0.003,16.419
astemizole,hERG,7,0.003,10.906
astemizole,hERG,7,0.003,13.152
astemizole,hERG,7,0.003,15.421
astemizole,hERG,7,0.3,101.46
astemizole,hERG,7,0.3,97.88
astemizole,hERG,7,0.3,90.761
astemizole,hERG,7,0.3,85.848
astemizole,hERG,7,0.3,105.37
astemizole,hERG,7,0.3,97.02
astemizole,hERG,7,0.3,96.267
astemizole,hERG,7,3,101.63
astemizole,hERG,7,3,100.1
astemizole,hERG,7,3,100.34
astemizole,hERG,7,3,97.549
astemizole,hERG,7,3,106.29
astemizole,hERG,7,3,99.803
astemizole,hERG,7,3,98.694
astemizole,hERG,8,3,99.95
astemizole,hERG,8,3,98.02
astemizole,hERG,8,3,97.32
astemizole,hERG,8,3,99.38
astemizole,hERG,8,3,94.49
astemizole,hERG,8,3,99.12
astemizole,hERG,8,3,101.2
astemizole,hERG,8,3,101.39
astemizole,hERG,8,0.3,91.7
astemizole,hERG,8,0.3,84.37
astemizole,hERG,8,0.3,98.67
astemizole,hERG,8,0.3,51.06
astemizole,hERG,8,0.3,99.19
astemizole,hERG,8,0.3,96.47
astemizole,hERG,8,0.003,75.75
astemizole,hERG,8,0.003,33.22
astemizole,hERG,8,0.003,55.85
astemizole,hERG,8,0.003,59.07
astemizole,hERG,8,0.003,29.78
astemizole,hERG,8,0.003,33.71
astemizole,hERG,8,0.003,41.66
astemizole,hERG,8,0.003,61.5
astemizole,hERG,8,3.00E-04,44.66
astemizole,hERG,8,3.00E-04,12.65
astemizole,hERG,8,3.00E-04,0
astemizole,hERG,8,3.00E-04,7.12
astemizole,hERG,8,3.00E-04,7.45
astemizole,hERG,8,3.00E-04,7.81
astemizole,hERG,9,1.00E-04,7.39
astemizole,hERG,9,1.00E-04,23
astemizole,hERG,9,3.00E-04,16.2
astemizole,hERG,9,3.00E-04,17.2
astemizole,hERG,9,3.00E-04,18.4
astemizole,hERG,9,0.003,39.8
astemizole,hERG,9,0.003,40
astemizole,hERG,9,0.003,42.7
astemizole,hERG,9,0.003,43.2
astemizole,hERG,9,0.099999999,60.7
astemizole,hERG,9,0.099999999,61.3
astemizole,hERG,9,0.099999999,71.4
astemizole,hERG,9,0.3,91
astemizole,hERG,9,0.3,98
astemizole,hERG,9,0.3,103
astemizole,hERG,9,3,100
astemizole,hERG,9,3,101
astemizole,hERG,9,3,101
astemizole,hERG,9,3,101
azimilide,hERG,1,0.03,27.23214286
azimilide,hERG,1,0.03,29.95169082
azimilide,hERG,1,0.3,38.39285714
azimilide,hERG,1,0.3,53.8647343
azimilide,hERG,1,3,69.46428571
azimilide,hERG,1,3,83.74396135
azimilide,hERG,1,18,93.57142857
azimilide,hERG,1,18,98.47826087
azimilide,hERG,2,0.03,4.434358
azimilide,hERG,2,0.3,20.600559
azimilide,hERG,2,3,75.73324
azimilide,hERG,2,18,93.6103352
azimilide,hERG,2,0.03,10.708347
azimilide,hERG,2,0.3,26.504822
azimilide,hERG,2,3,76.953775
azimilide,hERG,2,18,94.6458264
azimilide,hERG,2,0.03,12.105927
azimilide,hERG,2,0.3,25.472888
azimilide,hERG,2,3,76.544767
azimilide,hERG,2,18,95.3026482
azimilide,hERG,3,3,100.121
azimilide,hERG,3,3,101.582
azimilide,hERG,3,3,97.752
azimilide,hERG,3,18,101.836
azimilide,hERG,3,18,107.339
azimilide,hERG,3,18,106.227
azimilide,hERG,3,3,95.766
azimilide,hERG,3,18,103.519
azimilide,hERG,3,0.03,23.445
azimilide,hERG,3,0.03,17.978
azimilide,hERG,3,0.03,18.862
azimilide,hERG,3,0.3,72.221
azimilide,hERG,3,0.3,69.031
azimilide,hERG,3,0.03,21.27
azimilide,hERG,3,0.3,67.528
azimilide,hERG,3,0.3,73.441
azimilide,hERG,4,0.03,11.24795
azimilide,hERG,4,0.3,30.29557
azimilide,hERG,4,3,88.25944
azimilide,hERG,4,18,100
azimilide,hERG,4,0.03,11.30335
azimilide,hERG,4,0.3,40.94579
azimilide,hERG,4,3,90.19608
azimilide,hERG,4,18,101.6148
azimilide,hERG,4,0.03,10.13667
azimilide,hERG,4,0.3,49.88611
azimilide,hERG,4,3,92.9385
azimilide,hERG,4,18,99.88611
azimilide,hERG,4,0.03,2.493606
azimilide,hERG,4,0.3,25.70332
azimilide,hERG,4,3,73.59335
azimilide,hERG,4,18,87.34015
azimilide,hERG,4,0.03,8.586232
azimilide,hERG,4,0.3,30.49593
azimilide,hERG,4,3,71.79867
azimilide,hERG,4,18,82.16136
azimilide,hERG,4,0.03,27.53994
azimilide,hERG,4,0.3,55.07987
azimilide,hERG,4,3,93.48243
azimilide,hERG,4,18,106.0703
azimilide,hERG,5,0.02997,6.633380884
azimilide,hERG,5,0.02997,5.50747443
azimilide,hERG,5,0.02997,-5.716723549
azimilide,hERG,5,0.02997,10.75641915
azimilide,hERG,5,0.02997,2.814569536
azimilide,hERG,5,0.02997,3.591470258
azimilide,hERG,5,0.2997,39.72895863
azimilide,hERG,5,0.2997,41.0700236
azimilide,hERG,5,0.2997,24.06143345
azimilide,hERG,5,0.2997,41.15197779
azimilide,hERG,5,0.2997,29.55298013
azimilide,hERG,5,0.2997,36.58810325
azimilide,hERG,5,2.997,86.30527817
azimilide,hERG,5,2.997,88.4343037
azimilide,hERG,5,2.997,78.75426621
azimilide,hERG,5,2.997,82.78972935
azimilide,hERG,5,2.997,77.81456954
azimilide,hERG,5,2.997,79.23681257
azimilide,hERG,5,18,98.14550642
azimilide,hERG,5,18,98.42643588
azimilide,hERG,5,18,97.6109215
azimilide,hERG,5,18,86.32893824
azimilide,hERG,5,18,98.09602649
azimilide,hERG,5,18,97.5308642
azimilide,hERG,6,0.03,1.42
azimilide,hERG,6,0.03,23.35
azimilide,hERG,6,0.3,21.6
azimilide,hERG,6,3,76.38
azimilide,hERG,6,0.3,25.91
azimilide,hERG,6,0.3,-2.39
azimilide,hERG,6,0.03,-0.84
azimilide,hERG,6,18,97.12
azimilide,hERG,6,3,78.86
azimilide,hERG,6,3,91.29
azimilide,hERG,6,18,96.27
azimilide,hERG,6,18,95.67
azimilide,hERG,7,0.03,0.30858
azimilide,hERG,7,0.03,4.4797
azimilide,hERG,7,0.03,3.8394
azimilide,hERG,7,0.03,5.8236
azimilide,hERG,7,0.03,2.6332
azimilide,hERG,7,0.03,5.5107
azimilide,hERG,7,0.03,3.5398
azimilide,hERG,7,0.3,40.285
azimilide,hERG,7,0.3,42.461
azimilide,hERG,7,0.3,40.394
azimilide,hERG,7,0.3,43.647
azimilide,hERG,7,0.3,39.499
azimilide,hERG,7,0.3,42.468
azimilide,hERG,7,0.3,43.283
azimilide,hERG,7,3,93.028
azimilide,hERG,7,3,87.352
azimilide,hERG,7,3,84.674
azimilide,hERG,7,3,87.569
azimilide,hERG,7,3,88.72
azimilide,hERG,7,3,87.037
azimilide,hERG,7,3,89.703
azimilide,hERG,7,30,98.368
azimilide,hERG,7,30,99.871
azimilide,hERG,7,30,99.534
azimilide,hERG,7,30,99.661
azimilide,hERG,7,30,99.603
azimilide,hERG,7,30,99.264
azimilide,hERG,7,30,101.06
azimilide,hERG,8,0.030000006,7.81
azimilide,hERG,8,0.030000006,8.61
azimilide,hERG,8,0.030000006,10.8
azimilide,hERG,8,0.300000006,41.4
azimilide,hERG,8,0.300000006,45.4
azimilide,hERG,8,0.300000006,47.5
azimilide,hERG,8,0.300000006,49.3
azimilide,hERG,8,0.300000006,51.4
azimilide,hERG,8,3.000000006,86.7
azimilide,hERG,8,3.000000006,87.6
azimilide,hERG,8,3.000000006,92.3
azimilide,hERG,8,18,96.1
azimilide,hERG,8,18,96.5
azimilide,hERG,8,18,97.4
azimilide,hERG,8,18,97.6
bepridil,hERG,1,0.01,2.91
bepridil,hERG,1,0.01,-13.53
bepridil,hERG,1,0.01,-9.51
bepridil,hERG,1,0.01,13.28
bepridil,hERG,1,0.01,12.88
bepridil,hERG,1,0.01,2.71
bepridil,hERG,1,0.01,-10.83
bepridil,hERG,1,0.01,38.3
bepridil,hERG,1,0.01,5.72
bepridil,hERG,1,0.01,9.63
bepridil,hERG,1,0.03,11.14
bepridil,hERG,1,0.03,16.25
bepridil,hERG,1,0.03,0.95
bepridil,hERG,1,0.03,30.07
bepridil,hERG,1,0.03,23.37
bepridil,hERG,1,0.03,25.14
bepridil,hERG,1,0.03,16.32
bepridil,hERG,1,0.03,10.18
bepridil,hERG,1,0.1,51.34
bepridil,hERG,1,0.1,54.62
bepridil,hERG,1,0.1,38.55
bepridil,hERG,1,0.1,70.74
bepridil,hERG,1,0.1,46.84
bepridil,hERG,1,0.1,54.29
bepridil,hERG,1,0.1,35.1
bepridil,hERG,1,0.1,61.15
bepridil,hERG,1,0.1,43.3
bepridil,hERG,1,0.1,44.42
bepridil,hERG,1,0.1,38.92
bepridil,hERG,1,0.3,83.96
bepridil,hERG,1,0.3,82.75
bepridil,hERG,1,0.3,79.18
bepridil,hERG,1,0.3,72.78
bepridil,hERG,1,0.3,74.71
bepridil,hERG,1,0.3,84.11
bepridil,hERG,1,0.3,57.4
bepridil,hERG,1,0.3,85.78
bepridil,hERG,1,0.3,82.63
bepridil,hERG,1,0.3,84.79
bepridil,hERG,2,0.01,5.991735537
bepridil,hERG,2,0.01,10.15936255
bepridil,hERG,2,0.01,4.873294347
bepridil,hERG,2,0.01,22.59259259
bepridil,hERG,2,0.03,24.79338843
bepridil,hERG,2,0.03,24.90039841
bepridil,hERG,2,0.03,18.03118908
bepridil,hERG,2,0.03,37.40740741
bepridil,hERG,2,0.1,71.90082645
bepridil,hERG,2,0.1,61.35458167
bepridil,hERG,2,0.1,54.19103314
bepridil,hERG,2,0.1,67.77777778
bepridil,hERG,2,0.3,101.0330579
bepridil,hERG,2,0.3,99.40239044
bepridil,hERG,2,0.3,100
bepridil,hERG,2,0.3,95.18518519
bepridil,hERG,3,0.01,9.7662
bepridil,hERG,3,0.01,23.0416
bepridil,hERG,3,0.01,16.0191
bepridil,hERG,3,0.03,8.1155
bepridil,hERG,3,0.03,19.6657
bepridil,hERG,3,0.03,15.7203
bepridil,hERG,3,0.1,22.7419
bepridil,hERG,3,0.1,32.9728
bepridil,hERG,3,0.1,18.7089
bepridil,hERG,3,0.3,70.6098
bepridil,hERG,3,0.3,63.7496
bepridil,hERG,3,0.3,61.5959
bepridil,hERG,4,0.009,3.508
bepridil,hERG,4,0.009,16.449
bepridil,hERG,4,0.009,-13.117
bepridil,hERG,4,0.009,-15.374
bepridil,hERG,4,0.009,11.613
bepridil,hERG,4,0.009,18.746
bepridil,hERG,4,0.03,10.916
bepridil,hERG,4,0.03,11.859
bepridil,hERG,4,0.03,0.074
bepridil,hERG,4,0.03,13.706
bepridil,hERG,4,0.03,16.898
bepridil,hERG,4,0.09,15.075
bepridil,hERG,4,0.09,10.289
bepridil,hERG,4,0.09,16.364
bepridil,hERG,4,0.09,3.452
bepridil,hERG,4,0.09,27.574
bepridil,hERG,4,0.09,16.553
bepridil,hERG,4,0.3,53.295
bepridil,hERG,4,0.3,71.005
bepridil,hERG,4,0.3,55.552
bepridil,hERG,4,0.3,48.513
bepridil,hERG,4,0.3,52.888
bepridil,hERG,5,0.01,3.52
bepridil,hERG,5,0.03,18.32
bepridil,hERG,5,0.1,66.17
bepridil,hERG,5,0.3,101.75
bepridil,hERG,5,0.01,-0.74
bepridil,hERG,5,0.03,8.94
bepridil,hERG,5,0.1,50.91
bepridil,hERG,5,0.3,88.04
bepridil,hERG,5,0.01,2.64
bepridil,hERG,5,0.03,20.65
bepridil,hERG,5,0.1,64.09
bepridil,hERG,5,0.3,92.31
bepridil,hERG,5,0.01,6.02
bepridil,hERG,5,0.03,24.2
bepridil,hERG,5,0.1,59.55
bepridil,hERG,5,0.3,88.99
bepridil,hERG,5,0.01,-1.27
bepridil,hERG,5,0.03,9.26
bepridil,hERG,5,0.1,47.81
bepridil,hERG,5,0.3,81.57
bepridil,hERG,5,0.01,1.32
bepridil,hERG,5,0.03,10.08
bepridil,hERG,5,0.1,44.07
bepridil,hERG,5,0.3,82.49
bepridil,hERG,5,0.01,-7.97
bepridil,hERG,5,0.03,-1.4
bepridil,hERG,5,0.1,28.84
bepridil,hERG,5,0.3,47.85
bepridil,hERG,5,0.01,3.84
bepridil,hERG,5,0.03,11.4
bepridil,hERG,5,0.1,35.66
bepridil,hERG,5,0.3,61.01
bepridil,hERG,5,0.01,4.45
bepridil,hERG,5,0.03,17.93
bepridil,hERG,5,0.1,52.53
bepridil,hERG,5,0.3,86.61
bepridil,hERG,5,0.01,4.78
bepridil,hERG,5,0.03,20.41
bepridil,hERG,5,0.1,62.48
bepridil,hERG,5,0.3,90.4
bepridil,hERG,5,0.01,0.94
bepridil,hERG,5,0.03,16.53
bepridil,hERG,5,0.1,61.85
bepridil,hERG,5,0.3,101.35
bepridil,hERG,5,0.01,-5.74
bepridil,hERG,5,0.03,26.87
bepridil,hERG,5,0.1,75.56
bepridil,hERG,5,0.3,114.7
bepridil,hERG,5,0.01,5.31
bepridil,hERG,5,0.03,24
bepridil,hERG,5,0.1,60.88
bepridil,hERG,5,0.3,88.73
bepridil,hERG,5,0.01,1.335009
bepridil,hERG,5,0.03,16.42846
bepridil,hERG,5,0.1,49.78797
bepridil,hERG,5,0.3,80.77588
bepridil,hERG,5,0.01,0.436433
bepridil,hERG,5,0.03,8.064516
bepridil,hERG,5,0.1,35.59772
bepridil,hERG,5,0.3,85.88235
bepridil,hERG,5,0.01,6.178556
bepridil,hERG,5,0.03,16.59673
bepridil,hERG,5,0.1,41.78845
bepridil,hERG,5,0.3,82.4338
bepridil,hERG,5,0.01,2.02
bepridil,hERG,5,0.03,1.74
bepridil,hERG,5,0.1,25.45
bepridil,hERG,5,0.3,97.7
bepridil,hERG,5,0.01,-6.81
bepridil,hERG,5,0.03,-6.88
bepridil,hERG,5,0.1,25.04
bepridil,hERG,5,0.3,78.35
bepridil,hERG,5,0.01,-10.97
bepridil,hERG,5,0.03,-15.08
bepridil,hERG,5,0.1,10.09
bepridil,hERG,5,0.3,74.46
bepridil,hERG,6,0.0099,-6.079501169
bepridil,hERG,6,0.0099,9.956076135
bepridil,hERG,6,0.0099,14.3437863
bepridil,hERG,6,0.0099,8.847736626
bepridil,hERG,6,0.03,11.22369447
bepridil,hERG,6,0.03,22.54758419
bepridil,hERG,6,0.03,23.1126597
bepridil,hERG,6,0.03,21.46776406
bepridil,hERG,6,0.099,44.89477786
bepridil,hERG,6,0.099,50.43923865
bepridil,hERG,6,0.099,52.43902439
bepridil,hERG,6,0.099,56.24142661
bepridil,hERG,6,0.3,78.56586126
bepridil,hERG,6,0.3,79.20937042
bepridil,hERG,6,0.3,77.46806039
bepridil,hERG,6,0.3,88.20301783
bepridil,hERG,7,0.01,-0.45
bepridil,hERG,7,0.03,2.73
bepridil,hERG,7,0.1,25.32
bepridil,hERG,7,0.3,65.68
bepridil,hERG,7,0.01,-1.92
bepridil,hERG,7,0.03,2.91
bepridil,hERG,7,0.1,20.88
bepridil,hERG,7,0.3,57.68
bepridil,hERG,7,0.01,-1.2
bepridil,hERG,7,0.03,6.59
bepridil,hERG,7,0.1,25.12
bepridil,hERG,7,0.3,66.69
bepridil,hERG,7,0.01,9.77
bepridil,hERG,7,0.03,12.87
bepridil,hERG,7,0.1,21.56
bepridil,hERG,7,0.3,48.46
bepridil,hERG,8,0.00999,7.2583
bepridil,hERG,8,0.00999,5.9637
bepridil,hERG,8,0.00999,0.81701
bepridil,hERG,8,0.00999,1.8905
bepridil,hERG,8,0.00999,-4.4131
bepridil,hERG,8,0.03,17.299
bepridil,hERG,8,0.03,18.008
bepridil,hERG,8,0.03,4.4898
bepridil,hERG,8,0.03,7.5333
bepridil,hERG,8,0.03,3.5252
bepridil,hERG,8,0.09999,45.816
bepridil,hERG,8,0.09999,40.919
bepridil,hERG,8,0.09999,19.348
bepridil,hERG,8,0.09999,23.32
bepridil,hERG,8,0.09999,26.295
bepridil,hERG,8,0.3,80.757
bepridil,hERG,8,0.3,73.069
bepridil,hERG,8,0.3,50.833
bepridil,hERG,8,0.3,60.889
bepridil,hERG,8,0.3,68.341
bepridil,hERG,9,0.01,46.89
bepridil,hERG,9,0.01,67.43
bepridil,hERG,9,0.01,66.12
bepridil,hERG,9,0.01,42.54
bepridil,hERG,9,0.01,-3.04
bepridil,hERG,9,0.01,34.58
bepridil,hERG,9,0.01,37.65
bepridil,hERG,9,0.01,28.72
bepridil,hERG,9,0.01,33.72
bepridil,hERG,9,0.01,62.85
bepridil,hERG,9,0.01,37
bepridil,hERG,9,0.01,47.92
bepridil,hERG,9,0.03,78.37
bepridil,hERG,9,0.03,24.36
bepridil,hERG,9,0.03,18.8
bepridil,hERG,9,0.03,38.18
bepridil,hERG,9,0.03,23.54
bepridil,hERG,9,0.03,8.41
bepridil,hERG,9,0.03,18.05
bepridil,hERG,9,0.03,28.16
bepridil,hERG,9,0.03,50.52
bepridil,hERG,9,0.03,23.8
bepridil,hERG,9,0.03,35.64
bepridil,hERG,9,0.03,9.24
bepridil,hERG,9,0.03,-1.78
bepridil,hERG,9,0.03,57.43
bepridil,hERG,9,0.1,81.14
bepridil,hERG,9,0.1,38.14
bepridil,hERG,9,0.1,61.67
bepridil,hERG,9,0.1,62.72
bepridil,hERG,9,0.1,79.93
bepridil,hERG,9,0.1,43.24
bepridil,hERG,9,0.1,43.81
bepridil,hERG,9,0.1,59.31
bepridil,hERG,9,0.1,52.24
bepridil,hERG,9,0.1,62.4
bepridil,hERG,9,0.1,69.35
bepridil,hERG,9,0.1,82.5
bepridil,hERG,9,0.1,65.3
bepridil,hERG,9,0.1,59.6
bepridil,hERG,9,0.1,70.08
bepridil,hERG,9,0.3,89.84
bepridil,hERG,9,0.3,86.16
bepridil,hERG,9,0.3,78.74
bepridil,hERG,9,0.3,84.98
bepridil,hERG,9,0.3,73.7
bepridil,hERG,9,0.3,70.21
bepridil,hERG,9,0.3,72.29
bepridil,hERG,9,0.3,67.45
bepridil,hERG,9,0.3,76.68
bepridil,hERG,9,0.3,89.72
bepridil,hERG,9,0.3,85.73
bepridil,hERG,9,0.3,83.73
bepridil,hERG,9,0.3,74.79
bepridil,hERG,9,0.3,76.54
bepridil,hERG,9,0.3,86.76
bepridil,hERG,10,0.01,18.13
bepridil,hERG,10,0.01,5.62
bepridil,hERG,10,0.01,9.84
bepridil,hERG,10,0.01,23.56
bepridil,hERG,10,0.01,8.01
bepridil,hERG,10,0.01,5.38
bepridil,hERG,10,0.01,12.26
bepridil,hERG,10,0.01,15.9
bepridil,hERG,10,0.01,6.1
bepridil,hERG,10,0.01,6.09
bepridil,hERG,10,0.01,5.97
bepridil,hERG,10,0.01,5.77
bepridil,hERG,10,0.01,1.3
bepridil,hERG,10,0.01,19.05
bepridil,hERG,10,0.01,10.18
bepridil,hERG,10,0.01,12.1
bepridil,hERG,10,0.03,33.28
bepridil,hERG,10,0.03,35.05
bepridil,hERG,10,0.03,25.74
bepridil,hERG,10,0.03,19.05
bepridil,hERG,10,0.03,14.21
bepridil,hERG,10,0.03,25.2
bepridil,hERG,10,0.03,13.49
bepridil,hERG,10,0.03,34.97
bepridil,hERG,10,0.03,21.72
bepridil,hERG,10,0.03,29.88
bepridil,hERG,10,0.03,34.9
bepridil,hERG,10,0.03,30.92
bepridil,hERG,10,0.03,54.66
bepridil,hERG,10,0.03,32.43
bepridil,hERG,10,0.1,73.93
bepridil,hERG,10,0.1,66.97
bepridil,hERG,10,0.1,64.68
bepridil,hERG,10,0.1,77.47
bepridil,hERG,10,0.1,43.97
bepridil,hERG,10,0.1,56.87
bepridil,hERG,10,0.1,65.55
bepridil,hERG,10,0.1,68.53
bepridil,hERG,10,0.1,63.31
bepridil,hERG,10,0.1,53.16
bepridil,hERG,10,0.1,62.8
bepridil,hERG,10,0.1,65.69
bepridil,hERG,10,0.3,92.01
bepridil,hERG,10,0.3,93.11
bepridil,hERG,10,0.3,88.15
bepridil,hERG,10,0.3,94.65
bepridil,hERG,10,0.3,92.33
bepridil,hERG,10,0.3,89.18
bepridil,hERG,10,0.3,87.69
bepridil,hERG,10,0.3,87.44
bepridil,hERG,10,0.3,84.72
bepridil,hERG,10,0.3,91.51
bepridil,hERG,10,0.3,90.14
bepridil,hERG,10,0.3,85.59
bepridil,hERG,10,0.3,87.35
bepridil,hERG,10,0.3,92.74
bepridil,hERG,11,0.009999,-3.267716477
bepridil,hERG,11,0.009999,10.35003728
bepridil,hERG,11,0.009999,5.185427379
bepridil,hERG,11,0.03,1.220471317
bepridil,hERG,11,0.03,10.42558542
bepridil,hERG,11,0.03,9.878568633
bepridil,hERG,11,0.09999,22.24409439
bepridil,hERG,11,0.09999,25.25812184
bepridil,hERG,11,0.09999,26.18969469
bepridil,hERG,11,0.3,61.37795263
bepridil,hERG,11,0.3,60.46335928
bepridil,hERG,11,0.3,58.68066928
bepridil,hERG,12,0.01,7.273218391
bepridil,hERG,12,0.01,11.86885057
bepridil,hERG,12,0.01,13.63988506
bepridil,hERG,12,0.01,13.89724138
bepridil,hERG,12,0.01,11.59908046
bepridil,hERG,12,0.01,9.869195402
bepridil,hERG,12,0.01,14.77517241
bepridil,hERG,12,0.01,6.806551724
bepridil,hERG,12,0.01,9.616781609
bepridil,hERG,12,0.01,2.671954023
bepridil,hERG,12,0.01,4.620804598
bepridil,hERG,12,0.03,39.76609195
bepridil,hERG,12,0.03,34.9554023
bepridil,hERG,12,0.03,45.17597701
bepridil,hERG,12,0.03,32.8945977
bepridil,hERG,12,0.03,38.84321839
bepridil,hERG,12,0.03,33.8054023
bepridil,hERG,12,0.1,74.85275862
bepridil,hERG,12,0.1,76.17827586
bepridil,hERG,12,0.1,65.5854023
bepridil,hERG,12,0.1,68.04931034
bepridil,hERG,12,0.1,72.25770115
bepridil,hERG,12,0.1,69.91689655
bepridil,hERG,12,0.1,74.62666667
bepridil,hERG,12,0.3,92.7754023
bepridil,hERG,12,0.3,91.17528736
bepridil,hERG,12,0.3,93.5754023
bepridil,hERG,12,0.3,92.14126437
bepridil,hERG,12,0.3,95.44965517
bepridil,hERG,12,0.3,86.8937931
bepridil,hERG,12,0.3,87.30310345
bepridil,hERG,12,0.3,90.94666667
bepridil,hERG,13,0.009999,8.3
bepridil,hERG,13,0.03,12.3
bepridil,hERG,13,0.0999999,21.3
bepridil,hERG,13,0.3,47.1
bepridil,hERG,13,0.009999,-1
bepridil,hERG,13,0.03,5.2
bepridil,hERG,13,0.0999999,22.3
bepridil,hERG,13,0.3,50.9
bepridil,hERG,13,0.009999,-2.6
bepridil,hERG,13,0.03,0.5
bepridil,hERG,13,0.0999999,14.3
bepridil,hERG,13,0.3,47.9
bepridil,hERG,13,0.009999,5.2
bepridil,hERG,13,0.03,8.5
bepridil,hERG,13,0.0999999,15.9
bepridil,hERG,13,0.3,44.9
bepridil,hERG,13,0.009999,7.3
bepridil,hERG,13,0.03,5.8
bepridil,hERG,13,0.0999999,17.9
bepridil,hERG,13,0.3,47.6
bepridil,hERG,13,0.00999,7.6
bepridil,hERG,13,0.03,13.1
bepridil,hERG,13,0.0999999,21.3
bepridil,hERG,13,0.3,49.2
bepridil,hERG,13,0.00999,1.9
bepridil,hERG,13,0.03,5.7
bepridil,hERG,13,0.0999999,16.3
bepridil,hERG,13,0.3,40
bepridil,hERG,13,0.00999,2.4
bepridil,hERG,13,0.03,8.1
bepridil,hERG,13,0.0999999,22
bepridil,hERG,13,0.3,53.1
chlorpromazine,hERG,1,0.1,6.298110567
chlorpromazine,hERG,1,0.1,6.794682422
chlorpromazine,hERG,1,0.1,19.12181303
chlorpromazine,hERG,1,0.1,21.6066482
chlorpromazine,hERG,1,0.3,25.47235829
chlorpromazine,hERG,1,0.3,28.2127031
chlorpromazine,hERG,1,0.3,47.02549575
chlorpromazine,hERG,1,0.3,50.13850416
chlorpromazine,hERG,1,1,63.05108467
chlorpromazine,hERG,1,1,56.57311669
