AstraZeneca,1,1
BristolMeyersSquibb,2,3
BSYSGmbH,3,4
CRLChantestRamp,4,6
Eurofins,5,7
Merck,6,22
Metrion,7,10
NanionMunichAmbientPatchliner,8,12
NanionMunichAmbientSyncropatch,9,14
NanionUSAmbientSyncropatch,10,15
NMI,11,16
Roche,12,18
Sophion,13,19
BristolMeyersSquibb,14,3
BSYSGmbH,15,4
CRLChantestRamp,16,6
Eurofins,17,7
Merck,18,22
Metrion,19,10
NanionPatchlinerAmbient,20,12
NanionSynchropatchAmbient,21,14
Sophion,22,19
