"day","min","opt","max"
0,0,0,0
1,0,0,0
2,0.00273224043715842,0.00273224043715842,0.00273224043715842
3,0.0163934426229508,0.0273224043715848,0.0409836065573771
4,0.0519125683060111,0.0737704918032787,0.0956284153005464
5,0.0874316939890711,0.117486338797814,0.14207650273224
6,0.131147540983607,0.166666666666667,0.199453551912568
7,0.177595628415301,0.215846994535519,0.248633879781421
8,0.221311475409836,0.259562841530055,0.297814207650273
9,0.243169398907104,0.286885245901639,0.325136612021858
10,0.281420765027322,0.319672131147541,0.363387978142077
11,0.311475409836066,0.35792349726776,0.396174863387978
12,0.325136612021858,0.368852459016394,0.412568306010929
13,0.360655737704918,0.404371584699453,0.450819672131147
14,0.379781420765027,0.423497267759563,0.467213114754098
15,0.398907103825137,0.448087431693989,0.489071038251366
16,0.420765027322404,0.467213114754098,0.510928961748634
17,0.439890710382514,0.489071038251366,0.530054644808743
18,0.450819672131147,0.497267759562842,0.540983606557377
19,0.46448087431694,0.510928961748634,0.551912568306011
20,0.480874316939891,0.527322404371585,0.57103825136612
21,0.502732240437158,0.549180327868852,0.592896174863388
22,0.524590163934426,0.57103825136612,0.612021857923497
23,0.546448087431694,0.598360655737705,0.639344262295082
24,0.554644808743169,0.598360655737705,0.644808743169399
25,0.576502732240437,0.622950819672131,0.66120218579235
26,0.579234972677596,0.62568306010929,0.663934426229508
27,0.595628415300546,0.64207650273224,0.677595628415301
28,0.603825136612022,0.650273224043716,0.691256830601093
