"day","ymin","ymean","ymax","y1min","y1mean","y1max"
1.5,-0.951154974,15.89787599,33.29042409,-85.60394766,1430.808839,2996.138168
4.5,-5.020381892,9.103911893,23.77887435,-451.8343703,819.3520704,2140.098692
7.5,-0.414789387,22.96359866,44.69713223,-37.33104483,2066.723879,4022.741901
10.5,-3.39698205,11.2779804,27.03997712,-305.7283845,1015.018236,2433.597941
13.5,2.302796253,9.368518916,17.52127583,207.2516628,843.1667024,1576.914825
16.5,-6.114567689,12.35786312,31.93163127,-550.311092,1112.207681,2873.846814
