"day","ymin","ymean","ymax","y1min","y1mean","y1max"
1.5,0.713166144,1.168273055,1.623379965,35.65830721,58.41365274,81.16899827
4.5,0.799677163,1.120174987,1.459879287,39.98385814,56.00874936,72.99396435
7.5,0.886211575,1.411828007,1.931057877,44.31057877,70.59140036,96.55289384
10.5,0.626631732,1.274013943,1.915009592,31.33158658,63.70069714,95.75047958
13.5,0.911851401,1.136176484,1.347728442,45.59257007,56.80882422,67.38642212
16.5,0.54968886,0.89582651,1.235554204,27.48444299,44.7913255,61.7777102
