"day","min","opt","max"
0,-0.00207900207900225,-0.00207900207900225,-0.00207900207900225
1,-0.00207900207900225,-0.00207900207900225,-0.00207900207900225
1,0,0.0103950103950101,0.0228690228690227
2,0,0.0103950103950101,0.0228690228690227
2,0.0187110187110184,0.0498960498960497,0.0790020790020789
3,0.0187110187110184,0.0498960498960497,0.0790020790020789
3,0.0748440748440746,0.118503118503118,0.162162162162162
4,0.0748440748440746,0.118503118503118,0.162162162162162
4,0.135135135135135,0.193347193347193,0.241164241164241
5,0.135135135135135,0.193347193347193,0.241164241164241
5,0.230769230769231,0.295218295218295,0.355509355509355
6,0.230769230769231,0.295218295218295,0.355509355509355
6,0.301455301455301,0.372141372141372,0.434511434511434
7,0.301455301455301,0.372141372141372,0.434511434511434
7,0.365904365904366,0.436590436590437,0.501039501039501
8,0.365904365904366,0.436590436590437,0.501039501039501
8,0.405405405405405,0.48024948024948,0.542619542619543
9,0.405405405405405,0.48024948024948,0.542619542619543
9,0.455301455301455,0.528066528066528,0.592515592515592
10,0.455301455301455,0.528066528066528,0.592515592515592
10,0.501039501039501,0.573804573804574,0.636174636174636
11,0.501039501039501,0.573804573804574,0.636174636174636
11,0.505197505197505,0.58004158004158,0.642411642411642
12,0.505197505197505,0.58004158004158,0.642411642411642
12,0.557172557172557,0.62993762993763,0.69022869022869
13,0.557172557172557,0.62993762993763,0.69022869022869
13,0.575883575883576,0.652806652806653,0.711018711018711
14,0.575883575883576,0.652806652806653,0.711018711018711
14,0.592515592515592,0.665280665280665,0.725571725571726
15,0.592515592515592,0.665280665280665,0.725571725571726
15,0.615384615384615,0.69022869022869,0.744282744282744
16,0.615384615384615,0.69022869022869,0.744282744282744
16,0.650727650727651,0.721413721413721,0.777546777546778
17,0.650727650727651,0.721413721413721,0.777546777546778
17,0.656964656964657,0.723492723492723,0.781704781704782
19,0.656964656964657,0.723492723492723,0.781704781704782
19,0.663201663201663,0.731808731808732,0.785862785862786
20,0.663201663201663,0.731808731808732,0.785862785862786
20,0.667359667359667,0.738045738045738,0.792099792099792
21,0.667359667359667,0.738045738045738,0.792099792099792
21,0.671517671517671,0.742203742203742,0.796257796257796
22,0.671517671517671,0.742203742203742,0.796257796257796
22,0.683991683991684,0.754677754677755,0.804573804573805
23,0.683991683991684,0.754677754677755,0.804573804573805
23,0.69022869022869,0.758835758835759,0.808731808731809
24,0.69022869022869,0.758835758835759,0.808731808731809
24,0.704781704781705,0.773388773388773,0.823284823284823
26,0.704781704781705,0.773388773388773,0.823284823284823
26,0.711018711018711,0.777546777546778,0.827442827442827
27,0.711018711018711,0.777546777546778,0.827442827442827
27,0.717255717255717,0.783783783783784,0.831600831600832
28,0.717255717255717,0.783783783783784,0.831600831600832
