"time","L","M","H"
0.5,219.931484297123,325.950504068093,415.594043873819
1,222.782674340345,326.377746247901,416.138787026548
1.5,241.889041819836,334.433467209353,436.412921832219
2,550.79369056949,694.131202703304,816.212622069241
2.25,35.0960764089266,61.8699467604276,87.5494600409539
2.5,15.6235320921346,25.9946965150459,36.3591226149333
2.75,11.3072021647621,15.6328699113324,20.6372444944049
3,7.99596452700158,11.9880972050105,15.2854382150368
3.5,5.09858731363251,7.29841837884309,9.30585740918654
4,4.49502778811227,5.66545629257273,6.73940814170859
