"time","L","M","H"
0.5,1024.77639642997,1247.6024250302,1572.38452889928
1,914.001144720274,1234.8380019927,1485.9425401651
1.5,1194.19033090416,1294.93935497065,1388.06615184691
2,2012.71862894,2233.61952304124,2982.89068303616
2.5,91.7557787086571,103.008888546665,116.993319485062
2.75,66.4017335198854,74.547086328028,87.6581726371832
3,52.1100211871331,58.5049303697556,66.4475280412264
3.5,34.0071677768734,38.6221872921047,42.8610687643079
4,23.5139367520878,28.958602992823,32.5108903459362
5,11.5052309437145,13.2189466001667,15.3646786456529
6,5.50003157100221,7.01314440500899,9.25839610136232
