"time","L","M","H"
0.5,2004.91691830349,2174.06367625835,2526.96305925581
1,2176.76327151004,2333.30727510023,2743.55526936505
1.5,2081.08376408287,2391.06327221658,2811.46607216285
2,3716.07767654344,4471.94829785463,5258.21757289986
2.5,137.563381205316,177.441665721814,228.885536443138
2.75,111.768661779676,136.068365262671,171.498244846497
3,73.7352264889246,94.0161920189583,117.138593339369
3.5,49.2463995292765,72.9841837884308,99.7463854791898
4,34.8489419851041,55.3572696795915,74.7873126883401
5,16.0925172699559,21.4897896163877,30.4071665050744
6,9.36571465672233,14.8773639158369,20.8101202819595
8,4.92469653907433,6.20714609458728,7.73320234259736
