"day","min","opt","max"
0,0,0
1,0.0003950103950112,0.00415800415800394,0.0103950103950102
2,0.00935550935550922,0.0301455301455299,0.0509355509355508
3,0.0467775467775465,0.084199584199584,0.12058212058212
4,0.104989604989605,0.155925155925156,0.201663201663202
5,0.182952182952183,0.244282744282744,0.298336798336798
6,0.266112266112266,0.333679833679834,0.395010395010395
7,0.333679833679834,0.404365904365904,0.467775467775468
8,0.385654885654886,0.458419958419958,0.521829521829522
9,0.43035343035343,0.504158004158004,0.567567567567568
10,0.478170478170478,0.550935550935551,0.614345114345114
11,0.503118503118503,0.576923076923077,0.639293139293139
12,0.531185031185031,0.604989604989605,0.666320166320166
13,0.566528066528067,0.641372141372141,0.700623700623701
14,0.584199584199584,0.659043659043659,0.718295218295218
15,0.603950103950104,0.677754677754678,0.734927234927235
16,0.633056133056133,0.705821205821206,0.760914760914761
17,0.653846153846154,0.722453222453222,0.77962577962578
19,0.66008316008316,0.727650727650728,0.783783783783784
20,0.665280665280665,0.734927234927235,0.788981288981289
21,0.669438669438669,0.74012474012474,0.794178794178794
22,0.677754677754678,0.748440748440748,0.800415800415801
23,0.687110187110187,0.756756756756757,0.806652806652807
24,0.697505197505198,0.766112266112266,0.816008316008316
26,0.707900207900208,0.775467775467775,0.825363825363825
27,0.714137214137214,0.780665280665281,0.82952182952183
28,0.717255717255717,0.783783783783784,0.831600831600832
